inputs,prediction,expected_output,score,cost
"Write a function to create a list of N empty dictionaries.

def empty_list(length):",'response',"
Correct Solution:
def def empty_list(length):
 empty_list = [{} for _ in range(length)]
 return empty_list",0.0,0.0
"Write a function to find numbers within a given range from startnum ti endnum where every number is divisible by every digit it contains. https://www.w3resource.com/python-exercises/lambda/python-lambda-exercise-24.php

def divisible_by_digits(startnum, endnum):","def divisible_by_digits(startnum, endnum):

    def is_divisible_by_digits(num):
        digits = [int(d) for d in str(num)]
        if '0' in str(num):
            return False
        for d in digits:
            if num % d != 0:
                return False
        return True
    return [num for num in range(startnum, endnum + 1) if is_divisible_by_digits(num)]","The solution passed all test cases.
Correct Solution:def divisible_by_digits(startnum, endnum):
    return [n for n in range(startnum, endnum+1) \
                if not any(map(lambda x: int(x) == 0 or n%int(x) != 0, str(n)))]",1.0,0.0
"Write a python function that takes in a tuple and an element and counts the occcurences of the element in the tuple.

def count_X(tup, x): ",'response',"
Correct Solution:
def def count_X(tup, x): 
    count = 0
    for ele in tup: 
        if (ele == x): 
            count = count + 1
    return count ",0.0,0.0
"Write a function to find the maximum product subarray of the given array.

def max_subarray_product(arr):","def max_subarray_product(arr):
    if not arr:
        return 0
    max_product = current_max = current_min = arr[0]
    for i in range(1, len(arr)):
        num = arr[i]
        if num < 0:
            (current_max, current_min) = (current_min, current_max)
        current_max = max(num, current_max * num)
        current_min = min(num, current_min * num)
        max_product = max(max_product, current_max)
    return max_product","The solution passed all test cases.
Correct Solution:def max_subarray_product(arr):
	n = len(arr)
	max_ending_here = 1
	min_ending_here = 1
	max_so_far = 0
	flag = 0
	for i in range(0, n):
		if arr[i] > 0:
			max_ending_here = max_ending_here * arr[i]
			min_ending_here = min (min_ending_here * arr[i], 1)
			flag = 1
		elif arr[i] == 0:
			max_ending_here = 1
			min_ending_here = 1
		else:
			temp = max_ending_here
			max_ending_here = max (min_ending_here * arr[i], 1)
			min_ending_here = temp * arr[i]
		if (max_so_far < max_ending_here):
			max_so_far = max_ending_here
	if flag == 0 and max_so_far == 0:
		return 0
	return max_so_far",1.0,0.0
"Write a python function to find even numbers from a list of numbers.

def Split(list): ",'response',"
Correct Solution:
def def Split(list): 
    return [num for num in list if num % 2 == 0]",0.0,0.0
"Write a function to calculate the sum (n - 2*i) from i=0 to n // 2, for instance n + (n-2) + (n-4)... (until n-x =< 0).

def sum_series(n):","def sum_series(n):
    total = 0
    for i in range(0, n // 2 + 1):
        term = n - 2 * i
        if term < 0:
            break
        total += term
    return total","The solution passed all test cases.
Correct Solution:def sum_series(n):
  if n < 1:
    return 0
  else:
    return n + sum_series(n - 2)",1.0,0.0
"Write a function that returns the list in a list of lists whose sum of elements is the highest.

def max_sum_list(lists):","def max_sum_list(lists):
    if not lists:
        return []
    max_sum = float('-inf')
    result = []
    for lst in lists:
        current_sum = sum(lst)
        if current_sum > max_sum:
            max_sum = current_sum
            result = lst
    return result","The solution passed all test cases.
Correct Solution:def max_sum_list(lists):
 return max(lists, key=sum)",1.0,0.0
"Write a function to calculate whether the matrix is a magic square.

def magic_square_test(my_matrix):","def magic_square_test(my_matrix):
    n = len(my_matrix)
    if n == 0 or any((len(row) != n for row in my_matrix)):
        return False
    total = sum(my_matrix[0])
    all_numbers = set(range(1, n * n + 1))
    flat = [num for row in my_matrix for num in row]
    if set(flat) != all_numbers:
        return False
    for i in range(1, n):
        if sum(my_matrix[i]) != total:
            return False
    for j in range(n):
        if sum((my_matrix[i][j] for i in range(n))) != total:
            return False
    if sum((my_matrix[i][i] for i in range(n))) != total:
        return False
    if sum((my_matrix[i][n - 1 - i] for i in range(n))) != total:
        return False
    return True","The solution passed all test cases.
Correct Solution:def magic_square_test(my_matrix):
    iSize = len(my_matrix[0])
    sum_list = []
    sum_list.extend([sum (lines) for lines in my_matrix])   
    for col in range(iSize):
        sum_list.append(sum(row[col] for row in my_matrix))
    result1 = 0
    for i in range(0,iSize):
        result1 +=my_matrix[i][i]
    sum_list.append(result1)      
    result2 = 0
    for i in range(iSize-1,-1,-1):
        result2 +=my_matrix[i][i]
    sum_list.append(result2)
    if len(set(sum_list))>1:
        return False
    return True",1.0,0.0
"Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.

def round_and_sum(list1):",'response',"
Correct Solution:
def def round_and_sum(list1):
  lenght=len(list1)
  round_and_sum=sum(list(map(round,list1))* lenght)
  return round_and_sum",0.0,0.0
"Write a function takes as input two lists [a_1,...,a_n], [b_1,...,b_n] and returns [a_1+b_1,...,a_n+b_n].

def sum_list(lst1,lst2):",'response',"
Correct Solution:
def def sum_list(lst1,lst2):
  res_list = [lst1[i] + lst2[i] for i in range(len(lst1))] 
  return res_list",0.0,0.0
"Write a function which takes a tuple of tuples and returns the average value for each tuple as a list.

def average_tuple(nums):",'response',"
Correct Solution:
def def average_tuple(nums):
    result = [sum(x) / len(x) for x in zip(*nums)]
    return result",0.0,0.0
"Write a function to find maximum run of uppercase characters in the given string.

def max_run_uppercase(test_str):","def max_run_uppercase(test_str):
    max_run = 0
    current_run = 0
    for char in test_str:
        if char.isupper():
            current_run += 1
            max_run = max(max_run, current_run)
        else:
            current_run = 0
    return max_run","The solution passed all test cases.
Correct Solution:def max_run_uppercase(test_str):
  cnt = 0
  res = 0
  for idx in range(0, len(test_str)):
    if test_str[idx].isupper():
      cnt += 1
    else:
      res = cnt
      cnt = 0
  if test_str[len(test_str) - 1].isupper():
    res = cnt
  return (res)",1.0,0.0
"Write a function to remove odd characters in a string.

def remove_odd(str1):",'response',"
Correct Solution:
def def remove_odd(str1):
 str2 = ''
 for i in range(1, len(str1) + 1):
    if(i % 2 == 0):
        str2 = str2 + str1[i - 1]
 return str2",0.0,0.0
"Write a function that takes in the radius and height of a cylinder and returns the the volume.

def volume_cylinder(r,h):",'response',"
Correct Solution:
def def volume_cylinder(r,h):
  volume=3.1415*r*r*h
  return volume",0.0,0.0
"Write a function to find the item with maximum frequency in a given list.
from collections import defaultdict
def max_occurrences(nums):","from collections import defaultdict
def max_occurrences(nums):
    freq = defaultdict(int)
    for num in nums:
        freq[num] += 1
    max_item = None
    max_count = 0
    for (item, count) in freq.items():
        if count > max_count:
            max_count = count
            max_item = item
    return max_item","The solution passed all test cases.
Correct Solution:from collections import defaultdict
def max_occurrences(nums):
    dict = defaultdict(int)
    for i in nums:
        dict[i] += 1
    result = max(dict.items(), key=lambda x: x[1]) 
    return result[0]",1.0,0.0
"Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.

def find_length(string): ","def find_length(string):
    max_len = 0
    current_diff = 0
    prefix_sums = {0: -1}
    for (i, ch) in enumerate(string):
        if ch == '0':
            current_diff += 1
        else:
            current_diff -= 1
        if current_diff in prefix_sums:
            max_len = max(max_len, i - prefix_sums[current_diff])
        else:
            prefix_sums[current_diff] = i
    return max_len","Error: .
 Solution: def find_length(string):
    max_len = 0
    current_diff = 0
    prefix_sums = {0: -1}
    for (i, ch) in enumerate(string):
        if ch == '0':
            current_diff += 1
        else:
            current_diff -= 1
        if current_diff in prefix_sums:
            max_len = max(max_len, i - prefix_sums[current_diff])
        else:
            prefix_sums[current_diff] = i
    return max_len.
 Test: def check():
    assert find_length(""11000010001"") == 6
    assert find_length(""10111"") == 1
    assert find_length(""11011101100101"") == 2

Correct Solution:def find_length(string): 
	n = len(string)
	current_sum = 0
	max_sum = 0
	for i in range(n): 
		current_sum += (1 if string[i] == '0' else -1) 
		if current_sum < 0: 
			current_sum = 0
		max_sum = max(current_sum, max_sum) 
	return max_sum if max_sum else 0",0.0,0.0
"Write a python function to find whether a number is divisible by 11.

def is_Diff(n): ","def is_Diff(n):
    if n == 0:
        return True
    if n < 0:
        n = -n
    num_str = str(n)
    odd_sum = 0
    even_sum = 0
    for i in range(len(num_str)):
        if i % 2 == 0:
            even_sum += int(num_str[i])
        else:
            odd_sum += int(num_str[i])
    return abs(even_sum - odd_sum) % 11 == 0","The solution passed all test cases.
Correct Solution:def is_Diff(n): 
    return (n % 11 == 0) ",1.0,0.0
"Write a python function to count the number of non-empty substrings of a given string.

def number_of_substrings(str): ","def number_of_substrings(str):
    n = len(str)
    count = 0
    for i in range(n):
        for j in range(i + 1, n + 1):
            count += 1
    return count","The solution passed all test cases.
Correct Solution:def number_of_substrings(str): 
	str_len = len(str); 
	return int(str_len * (str_len + 1) / 2); ",1.0,0.0
"Write a python function to find the sum of non-repeated elements in a given list.

def find_sum(arr): ",'response',"
Correct Solution:
def def find_sum(arr): 
    arr.sort() 
    sum = arr[0] 
    for i in range(len(arr)-1): 
        if (arr[i] != arr[i+1]): 
            sum = sum + arr[i+1]   
    return sum",0.0,0.0
"Write a function to find words that are longer than n characters from a given list of words.

def long_words(n, str):",'response',"
Correct Solution:
def def long_words(n, str):
    word_len = []
    txt = str.split("" "")
    for x in txt:
        if len(x) > n:
            word_len.append(x)
    return word_len	",0.0,0.0
"Write a function to remove all whitespaces from the given string.
import re
def remove_whitespaces(text1):",'response',"
Correct Solution:
def import re
def remove_whitespaces(text1):
  return (re.sub(r'\s+', '',text1))",0.0,0.0
"Write a function to find the nth jacobsthal number. https://www.geeksforgeeks.org/jacobsthal-and-jacobsthal-lucas-numbers/ 0, 1, 1, 3, 5, 11, 21, 43, 85, 171, 341, 683, 1365, 2731, ...

def jacobsthal_num(n): ",'response',"
Correct Solution:
def def jacobsthal_num(n): 
	dp = [0] * (n + 1) 
	dp[0] = 0
	dp[1] = 1
	for i in range(2, n+1): 
		dp[i] = dp[i - 1] + 2 * dp[i - 2] 
	return dp[n]",0.0,0.0
"Write a python function to check if a given number is one less than twice its reverse.

def check_answer(n):    ","def check_answer(n):

    def reverse_number(x):
        return int(str(x)[::-1])
    reversed_n = reverse_number(n)
    return 2 * reversed_n - 1 == n","The solution passed all test cases.
Correct Solution:def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check_answer(n):    
    return (2 * rev(n) == n + 1)  ",1.0,0.0
"Write a python function to count the number of pairs whose xor value is odd.

def find_Odd_Pair(A,N) : ","def find_Odd_Pair(A, N):
    odd_count = 0
    for i in range(N):
        for j in range(i + 1, N):
            if (A[i] ^ A[j]) % 2 == 1:
                odd_count += 1
    return odd_count","The solution passed all test cases.
Correct Solution:def find_Odd_Pair(A,N) : 
    oddPair = 0
    for i in range(0,N) :  
        for j in range(i+1,N) :  
            if ((A[i] ^ A[j]) % 2 != 0):  
                oddPair+=1  
    return oddPair  ",1.0,0.0
"Write a function to find k number of smallest pairs which consist of one element from the first array and one element from the second array.
import heapq
def k_smallest_pairs(nums1, nums2, k):","import heapq
def k_smallest_pairs(nums1, nums2, k):
    if not nums1 or not nums2:
        return []
    min_heap = []
    result = []
    for (i, num) in enumerate(nums1):
        heapq.heappush(min_heap, (num + nums2[0], i, 0))
    while min_heap and len(result) < k:
        (_, i, j) = heapq.heappop(min_heap)
        result.append([nums1[i], nums2[j]])
        if j + 1 < len(nums2):
            heapq.heappush(min_heap, (nums1[i] + nums2[j + 1], i, j + 1))
    return result","The solution passed all test cases.
Correct Solution:import heapq
def k_smallest_pairs(nums1, nums2, k):
   queue = []
   def push(i, j):
       if i < len(nums1) and j < len(nums2):
           heapq.heappush(queue, [nums1[i] + nums2[j], i, j])
   push(0, 0)
   pairs = []
   while queue and len(pairs) < k:
       _, i, j = heapq.heappop(queue)
       pairs.append([nums1[i], nums2[j]])
       push(i, j + 1)
       if j == 0:
           push(i + 1, 0)
   return pairs",1.0,0.0
"Write a function to find the shared elements from the given two lists.

def similar_elements(test_tup1, test_tup2):",'response',"
Correct Solution:
def def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ",0.0,0.0
"Write a python function to count the number of substrings with the sum of digits equal to their length.
from collections import defaultdict
def count_Substrings(s):","from collections import defaultdict
def count_Substrings(s):
    count = 0
    prefix_sum = 0
    prefix_counts = defaultdict(int)
    prefix_counts[0] = 1
    for i in range(len(s)):
        digit = int(s[i])
        prefix_sum += digit
        target = prefix_sum - (i + 1)
        count += prefix_counts[target]
        prefix_counts[prefix_sum] += 1
    return count","Error: .
 Solution: from collections import defaultdict
def count_Substrings(s):
    count = 0
    prefix_sum = 0
    prefix_counts = defaultdict(int)
    prefix_counts[0] = 1
    for i in range(len(s)):
        digit = int(s[i])
        prefix_sum += digit
        target = prefix_sum - (i + 1)
        count += prefix_counts[target]
        prefix_counts[prefix_sum] += 1
    return count.
 Test: def check():
    assert count_Substrings('112112') == 6
    assert count_Substrings('111') == 6
    assert count_Substrings('1101112') == 12

Correct Solution:from collections import defaultdict
def count_Substrings(s):
    n = len(s)
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count",0.0,0.0
"Write a function to find the second smallest number in a list.

def second_smallest(numbers):","def second_smallest(numbers):
    if len(numbers) < 2:
        return None
    unique_numbers = list(set(numbers))
    if len(unique_numbers) < 2:
        return None
    unique_numbers.sort()
    return unique_numbers[1]","The solution passed all test cases.
Correct Solution:def second_smallest(numbers):
  unique_numbers = list(set(numbers))
  unique_numbers.sort()
  if len(unique_numbers) < 2:
    return None
  else:
    return unique_numbers[1]",1.0,0.0
"Write a function to find the surface area of a cylinder.

def surfacearea_cylinder(r,h):","import math
def surfacearea_cylinder(r, h):
    if r <= 0 or h <= 0:
        raise ValueError('Radius and height must be positive numbers.')
    return 2 * math.pi * r * h + 2 * math.pi * r ** 2","Error: .
 Solution: import math
def surfacearea_cylinder(r, h):
    if r <= 0 or h <= 0:
        raise ValueError('Radius and height must be positive numbers.')
    return 2 * math.pi * r * h + 2 * math.pi * r ** 2.
 Test: def check():
    assert surfacearea_cylinder(10,5)==942.45
    assert surfacearea_cylinder(4,5)==226.18800000000002
    assert surfacearea_cylinder(4,10)==351.848

Correct Solution:def surfacearea_cylinder(r,h):
  surfacearea=((2*3.1415*r*r) +(2*3.1415*r*h))
  return surfacearea",0.0,0.0
"Write a function to convert a snake case string to camel case string.

def snake_to_camel(word):",'response',"
Correct Solution:
def def snake_to_camel(word):
        import re
        return ''.join(x.capitalize() or '_' for x in word.split('_'))",0.0,0.0
"Write a function to return two words from a list of words starting with letter 'p'.
import re
def start_withp(words):",'response',"
Correct Solution:
def import re
def start_withp(words):
 for w in words:
        m = re.match(""(P\w+)\W(P\w+)"", w)
        if m:
            return m.groups()",0.0,0.0
"Write a function to find the nth hexagonal number.

def hexagonal_num(n): ",'response',"
Correct Solution:
def def hexagonal_num(n): 
	return n*(2*n - 1) ",0.0,0.0
"Write a function to extract the number of unique tuples in the given list.

def extract_freq(test_list):",'response',"
Correct Solution:
def def extract_freq(test_list):
  res = len(list(set(tuple(sorted(sub)) for sub in test_list)))
  return (res)",0.0,0.0
"Write a python function to calculate the product of the unique numbers in a given list.

def unique_product(list_data):",'response',"
Correct Solution:
def def unique_product(list_data):
    temp = list(set(list_data))
    p = 1
    for i in temp:
        p *= i
    return p",0.0,0.0
"Write a python function to reverse only the vowels of a given string (where y is not a vowel).

def reverse_vowels(str1):","def reverse_vowels(str1):
    vowels = set('aeiouAEIOU')
    str_list = list(str1)
    (i, j) = (0, len(str_list) - 1)
    while i < j:
        while i < j and str_list[i] not in vowels:
            i += 1
        while i < j and str_list[j] not in vowels:
            j -= 1
        if i < j:
            (str_list[i], str_list[j]) = (str_list[j], str_list[i])
            i += 1
            j -= 1
    return ''.join(str_list)","The solution passed all test cases.
Correct Solution:def reverse_vowels(str1):
	vowels = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			vowels += char
	result_string = """"
	for char in str1:
		if char in ""aeiouAEIOU"":
			result_string += vowels[-1]
			vowels = vowels[:-1]
		else:
			result_string += char
	return result_string",1.0,0.0
